126,31/05/2014 09:15,31/05/2014 11:15
12,31/05/2014 09:15,31/05/2014 11:15
128,02/06/2014 09:15,02/06/2014 10:45
45,02/06/2014 13:00,02/06/2014 15:00
46,02/06/2014 13:00,02/06/2014 16:00
118,03/06/2014 09:15,03/06/2014 12:15
13,03/06/2014 13:00,03/06/2014 15:00
72,03/06/2014 14:15,03/06/2014 16:15
73,03/06/2014 14:15,03/06/2014 17:15
19,04/06/2014 09:15,04/06/2014 11:15
142,04/06/2014 09:15,04/06/2014 11:45
53,05/06/2014 09:15,05/06/2014 11:15
70,06/06/2014 13:00,06/06/2014 15:00
138,09/06/2014 09:15,09/06/2014 11:15
84,09/06/2014 09:15,09/06/2014 12:15
18,09/06/2014 09:15,09/06/2014 11:15
74,09/06/2014 09:15,09/06/2014 11:15
101,09/06/2014 13:00,09/06/2014 16:00
110,09/06/2014 13:00,09/06/2014 16:00
37,10/06/2014 09:15,10/06/2014 10:45
132,10/06/2014 09:15,10/06/2014 11:15
134,10/06/2014 09:15,10/06/2014 11:15
75,12/06/2014 09:15,12/06/2014 12:15
97,12/06/2014 17:00,12/06/2014 20:00
116,12/06/2014 17:00,12/06/2014 20:00
111,12/06/2014 17:00,12/06/2014 20:00
55,13/06/2014 11:45,13/06/2014 13:45
39,13/06/2014 11:45,13/06/2014 13:45
52,13/06/2014 11:45,13/06/2014 14:45
20,14/06/2014 09:15,14/06/2014 11:15
10,14/06/2014 09:15,14/06/2014 11:15
136,16/06/2014 09:15,16/06/2014 11:15
64,16/06/2014 13:00,16/06/2014 15:00
38,16/06/2014 13:00,16/06/2014 15:00
85,16/06/2014 13:00,16/06/2014 16:00
56,17/06/2014 11:45,17/06/2014 13:45
108,17/06/2014 11:45,17/06/2014 14:45
40,17/06/2014 11:45,17/06/2014 14:45
131,17/06/2014 11:45,17/06/2014 13:45
127,17/06/2014 11:45,17/06/2014 13:45
115,18/06/2014 09:15,18/06/2014 10:15
102,18/06/2014 09:15,18/06/2014 11:15
23,20/06/2014 09:15,20/06/2014 12:15
63,23/06/2014 09:15,23/06/2014 11:15
125,23/06/2014 11:45,23/06/2014 13:15
47,25/06/2014 11:45,25/06/2014 13:45
7,25/06/2014 09:15,25/06/2014 12:15
1,26/06/2014 09:15,26/06/2014 12:15
59,27/06/2014 09:15,27/06/2014 11:15
99,28/06/2014 09:15,28/06/2014 11:15
105,28/06/2014 09:15,28/06/2014 11:15
98,28/06/2014 09:15,28/06/2014 11:15
139,28/06/2014 09:15,28/06/2014 11:45
54,30/06/2014 09:15,30/06/2014 11:15
50,30/06/2014 09:15,30/06/2014 12:15
122,30/06/2014 09:15,30/06/2014 12:15
22,31/05/2014 09:15,31/05/2014 11:15
44,06/06/2014 17:30,06/06/2014 19:30
112,12/06/2014 17:00,12/06/2014 20:00
57,28/06/2014 09:15,28/06/2014 12:15
148,31/05/2014 09:15,31/05/2014 12:15
92,31/05/2014 09:15,31/05/2014 11:15
155,09/06/2014 09:15,09/06/2014 12:15
31,09/06/2014 09:15,09/06/2014 11:15
89,14/06/2014 09:15,14/06/2014 12:15
30,14/06/2014 09:15,14/06/2014 11:15
149,14/06/2014 09:15,14/06/2014 12:15
34,21/06/2014 09:15,21/06/2014 11:15
152,21/06/2014 09:15,21/06/2014 12:15
90,21/06/2014 09:15,21/06/2014 12:15
35,28/06/2014 09:15,28/06/2014 11:15
154,28/06/2014 09:15,28/06/2014 12:15
91,28/06/2014 09:15,28/06/2014 11:15
